brand,model,generation,variant,brand_th,brand_segment,oem_group,brand_origin,trim_detail,nameplate,model_th,body_type,cab_type,registration_type,market_scope,model_aliases,segment,seats,launched,ended,powertrain,drivetrain,engine_cc,battery_kwh,variant_aliases,price_thb,price_min_thb,price_max_thb,import_type,origin_country,price_note
BMW,Z4,,spec,,PREMIUM_LUXURY,BMW Group,DE,,,แซด4,COUPE,,,NICHE,Z4 sDrive30i,D,5,2023-01-01,,ICE,AWD,1998,,,4290000,,,CKD,TH,seed-unverified
BMW,XM,,spec,,PREMIUM_LUXURY,BMW Group,DE,,,เอ็กซ์เอ็ม,SUV,,,NICHE,XM 50e,E,5,2023-01-01,,PHEV,AWD,2998,25.7,,12900000,,,CKD,TH,seed-unverified
Audi,A1,,spec,,PREMIUM_LUXURY,Volkswagen Group,DE,,,เอ1,HATCHBACK,,,NICHE,A1 SB,B,5,2023-01-01,,MHEV,AWD,1498,0.5,,2290000,,,CBU,DE,seed-unverified
Audi,A4,,spec,,PREMIUM_LUXURY,Volkswagen Group,DE,,,เอ4,SEDAN,,,NICHE,A4 AV|A4,D,5,2023-01-01,,MHEV,AWD,1984,0.5,,3290000,,,CBU,DE,seed-unverified
Audi,A5,,spec,,PREMIUM_LUXURY,Volkswagen Group,DE,,,เอ5,COUPE,,,NICHE,A5 CP|A5 SB|A5 Avant|A5,D,5,2023-01-01,,MHEV,AWD,1984,0.5,,3690000,,,CBU,DE,seed-unverified
Audi,A7,,spec,,PREMIUM_LUXURY,Volkswagen Group,DE,,,เอ7,SEDAN,,,NICHE,A7 SB,E,5,2023-01-01,,MHEV,AWD,2995,0.5,,5490000,,,CBU,DE,seed-unverified
Audi,A8,,spec,,PREMIUM_LUXURY,Volkswagen Group,DE,,,เอ8,SEDAN,,,NICHE,A8L|A8,E,5,2023-01-01,,MHEV,AWD,2995,0.5,,8990000,,,CBU,DE,seed-unverified
Audi,Q8,,spec,,PREMIUM_LUXURY,Volkswagen Group,DE,,,คิว8,SUV,,,NICHE,Q8 SB|Q8 etron|Q8,E,5,2023-01-01,,MHEV,AWD,2995,0.5,,6490000,,,CBU,DE,seed-unverified
Audi,TT,,spec,,PREMIUM_LUXURY,Volkswagen Group,DE,,,ทีที,COUPE,,,NICHE,TT Coupe|TT RS|TT,C,5,2023-01-01,,MHEV,AWD,1984,0.5,,3990000,,,CBU,DE,seed-unverified
Audi,RS,,spec,,PREMIUM_LUXURY,Volkswagen Group,DE,,,อาร์เอส,SEDAN,,,NICHE,RS 4|RS 5|RS 7|RS Q8|S3,D,5,2023-01-01,,MHEV,AWD,2894,0.5,,8990000,,,CBU,DE,seed-unverified
Honda,Step WGN,,2.0L HEV,,,,,,,สเต็ปแวกอน,MPV,,,GREY,step wgn|stepwgn,C,7,2022-01-01,,HEV,FWD,1993,1.1,,,,,,,grey import
Honda,Odyssey,,2.0L HEV,,,,,,,โอดิสซี,MPV,,,GREY,odyssey,D,7,2021-01-01,,HEV,FWD,1993,1.1,,,,,,,grey import
Mazda,Mazda6,,2.5L ICE,,,,,,,มาสด้า6,SEDAN,,,NICHE,mazda 6,D,5,2018-01-01,,ICE,FWD,2488,,,1890000,,,CBU,JP,seed-unverified
Mazda,MX-5,,2.0L ICE,,,,,,,เอ็มเอ็กซ์-5,COUPE,,,NICHE,mx-5|roadster,B,2,2019-01-01,,ICE,RWD,1998,,,2790000,,,CBU,JP,seed-unverified
Subaru,BRZ,,2.4L ICE,,,,,,,บีอาร์แซด,COUPE,,,NICHE,brz,D,4,2022-01-01,,ICE,RWD,2387,,,2390000,,,CBU,JP,seed-unverified
Subaru,Outback,,2.5L ICE,,,,,,,เอาท์แบ็ค,WAGON,,,NICHE,outback,D,5,2021-01-01,,ICE,AWD,2498,,,2290000,,,CBU,JP,seed-unverified
Mitsubishi,Outlander PHEV,,2.4L PHEV,,,,,,,เอาท์แลนเดอร์,CROSSOVER,,,GREY,outlander,D,7,2022-01-01,,PHEV,AWD,2359,20.0,,,,,,,grey import
BYD,BYD T3,,50 kWh BEV,,,,,,,บีวายดี ที3,VAN,,RY3,COMMERCIAL,t3,UNKNOWN,2,2021-01-01,,BEV,FWD,,50.3,,999000,,,CBU,CN,seed-unverified
GWM,Poer Sahar,,2.0L HEV,,,,,,,โพเออร์ ซาฮาร์,PICKUP,DOUBLE_CAB,,,poer sahar|sahar|poer,F,5,2025-09-01,,HEV,4WD,1998,1.8,,1399000,,,CBU,CN,seed-unverified
Volkswagen,Caravelle,,2.0L ICE,โฟล์คสวาเกน,MASS,Volkswagen Group,DE,,,คาราเวล,VAN,,RY2,COMMERCIAL,caravelle|multivan|id buzz,E,9,2020-01-01,,ICE,FWD,1968,,,3290000,,,CBU,DE,seed-unverified
Seres,Seres 3,,spec,เซเรส,BUDGET,Seres,CN,,,Seres 3,CROSSOVER,,,CORE,3,UNKNOWN,5,2023-01-01,,BEV,FWD,,53.6,,899000,,,CBU,CN,seed-unverified
Sokon,Sokon EC35,,spec,โซคอน,BUDGET,Sokon,CN,,,Sokon EC35,VAN,,RY3,COMMERCIAL,EC35,UNKNOWN,2,2023-01-01,,BEV,FWD,,41.9,,849000,,,CBU,CN,seed-unverified
Farizon,Farizon SV,,spec,ฟาริซอน,BUDGET,Farizon,CN,,,Farizon SV,VAN,,RY3,COMMERCIAL,SV,UNKNOWN,3,2023-01-01,,BEV,FWD,,83.0,,1690000,,,CBU,CN,seed-unverified
Nextem,Nextem Orca,,spec,เน็กซ์เท็ม,BUDGET,Nextem,TH,,,Nextem Orca,VAN,,RY3,COMMERCIAL,Orca,UNKNOWN,2,2023-01-01,,BEV,FWD,,60.0,,1290000,,,CBU,TH,seed-unverified
Daihatsu,Hijet,,spec,ไดฮัทสุ,BUDGET,Daihatsu,JP,,,Hijet,VAN,,RY3,COMMERCIAL,Hijet,UNKNOWN,2,2023-01-01,,ICE,FWD,658,,,590000,,,CBU,JP,seed-unverified
XPeng,XPeng X9,,84 kWh BEV,,,,,,,เอ็กซ์เผิง เอ็กซ์9,MPV,,,,x9|xpeng x9,E,7,2025-03-01,,BEV,RWD,,84.5,,2599000,,,CBU,CN,seed-unverified
BMW,3 Series,,2.0L PHEV,,,,,,,,,,,,320d|320i|318i|320Li|330Li|330e|M340i|M340i xDrive,,,,,,,,,,,,,,,
BMW,5 Series,,2.0L PHEV,,,,,,,,,,,,520d|530e|540i,,,,,,,,,,,,,,,
BMW,X1,,1.5L ICE,,,,,,,,,,,,X1 sDrive18i|X1 xDrive20d,,,,,,,,,,,,,,,
BMW,X3,,2.0L MHEV AWD,,,,,,,,,,,,X3 xDrive20|X3 20 xDrive,,,,,,,,,,,,,,,
BMW,i4,,84 kWh BEV,,,,,,,,,,,,i4 eDrive40|i4 M50,,,,,,,,,,,,,,,
BMW,iX3,,80 kWh BEV,,,,,,,,,,,,iX3 Inspiring|iX3 Impressive,,,,,,,,,,,,,,,
Mercedes-Benz,C-Class,,2.0L PHEV,,,,,,,,,,,,C 200|C 220 d|C 250|C250|C 300|C 300 e|C 350 e,,,,,,,,,,,,,,,
Mercedes-Benz,E-Class,,2.0L MHEV,,,,,,,,,,,,E 200|E 220 d|E 300 e|E 350 e|E 300,,,,,,,,,,,,,,,
Mercedes-Benz,GLA,,1.3L ICE,,,,,,,,,,,,GLA 200|GLA 250,,,,,,,,,,,,,,,
Mercedes-Benz,GLC,,2.0L PHEV AWD,,,,,,,,,,,,GLC 200|GLC 220 d|GLC 300 d|GLC 300 e,,,,,,,,,,,,,,,
Mercedes-Benz,EQS,,108 kWh BEV AWD,,,,,,,,,,,,EQS 450|EQS 500|EQS 580,,,,,,,,,,,,,,,
GWM,Tank 300,,2.0L HEV 4WD,,,,,,,,,,,,TANK 300 HYBRID|300 HYBRID,,,,,,,,,,,,,,,
GWM,Tank 500,,2.0L HEV 4WD,,,,,,,,,,,,TANK 500 HYBRID|500 HYBRID,,,,,,,,,,,,,,,
Toyota,Alphard,,2.5L HEV AWD,,,,,,,,,,,,ALPHARD HYBRID|ALPHARD 2.5 HYBRID,,,,,,,,,,,,,,,
MG,MG ES,,62 kWh BEV,,,,,,,,,,,,ES5|MG ES5,,,,,,,,,,,,,,,
Nissan,Kicks e-Power,,1.2L REEV,,,,,,,,,,,,KICKS e-POWER,,,,,,,,,,,,,,,
MG,MG3,,1.5L HEV,,,,,true,,,,,,,,,,,,,,,,,,,,,,
BYD,Atto 3,,60 kWh BEV,,,,,true,,,,,,,,,,,,,,,,,,,,,,
GWM,Haval H6,,1.5L HEV,,,,,true,,,,,,,,,,,,,,,,,,,,,,
Neta,Neta V,,41 kWh BEV,,,,,true,,,,,,,,,,,,,,,,,,,,,,
Changan,Deepal S07,,80 kWh BEV,,,,,true,,,,,,,,,,,,,,,,,,,,,,
Aion,Aion Y Plus,,63 kWh BEV,,,,,true,,,,,,,,,,,,,,,,,,,,,,
Chery,Omoda C5,,61 kWh BEV,,,,,true,,,,,,,,,,,,,,,,,,,,,,
Zeekr,Zeekr X,,66 kWh BEV,,,,,true,,,,,,,,,,,,,,,,,,,,,,
XPeng,XPeng G6,,88 kWh BEV,,,,,true,,,,,,,,,,,,,,,,,,,,,,
Tesla,Model 3,,60 kWh BEV,,,,,true,,,,,,,,,,,,,,,,,,,,,,
