period,registration_type,brand,nameplate,model,trim_label,grade,drive,range_km,battery_kwh,powertrain_hint,segment,body_type,market_position,powertrain,brand_segment,units,raw_label
2023-07,RY1,GWM,Haval H6,Haval H6,HEV ULTRA,ULTRA,,,,HEV,C,CROSSOVER,UPPER,MIXED,MASS,165.0,HAVAL H6 HEV ULTRA
2025-03,RY1,Changan,Changan Lumin,Changan Lumin,L DC,,,,,,A,HATCHBACK,ENTRY,BEV,MASS,165.0,CHANGAN LUMIN L DC
2025-06,RY3,BYD,BYD T3,BYD T3,,,,,,,UNKNOWN,VAN,VOLUME,BEV,MASS,165.0,BYD T3
2025-09,RY1,Aion,Aion Y Plus,Aion Y Plus,,,,,,,B,CROSSOVER,VOLUME,BEV,MASS,165.0,AION AION Y PLUS
2025-12,RY1,BYD,Sealion 7,Sealion 7,AWD,,AWD,,,,D,CROSSOVER,UPPER,BEV,MASS,165.0,BYD BYD SEALION 7 AWD
2022-03,RY1,MG,MG HS,MG HS,PHEV,,,,,PHEV,C,CROSSOVER,MIXED,MIXED,MASS,164.0,MG HS PHEV
2022-08,RY1,GWM,Haval Jolion,Haval Jolion,HYBRID,,,,,HEV,B,CROSSOVER,VOLUME,HEV,MASS,164.0,HAVAL JOLION HYBRID
2022-12,RY1,GWM,Haval Jolion,Haval Jolion,HYBRID,,,,,HEV,B,CROSSOVER,VOLUME,HEV,MASS,164.0,HAVAL JOLION HYBRID
2023-12,RY1,GWM,Haval Jolion,Haval Jolion,HYBRID,,,,,HEV,B,CROSSOVER,VOLUME,HEV,MASS,164.0,HAVAL JOLION HYBRID
2024-06,RY1,Tesla,Model 3,Model 3,PERFORMANCE,PERFORMANCE,,,,,D,SEDAN,MIXED,BEV,PREMIUM_TECH,164.0,TESLA Model 3 Performance
2024-09,RY1,Tesla,Model 3,Model 3,Rear-Wheel Drive,,,,,,D,SEDAN,MIXED,BEV,PREMIUM_TECH,164.0,TESLA Model 3 Rear-Wheel Drive
2024-10,RY1,BYD,Atto 3,Atto 3,480KM-EXT,EXT,,480.0,,,B,CROSSOVER,VOLUME,BEV,MASS,164.0,BYD BYD ATTO3 (480KM-EXT)
2022-07,RY1,MG,MG Extender,MG Extender Double Cab,,,,,,,F,PICKUP,VOLUME,ICE,MASS,163.0,MG MG EXTENDER
2023-11,RY1,MG,MG ZS,MG ZS,,,,,,,B,CROSSOVER,VOLUME,ICE,MASS,162.0,MG ZS
2024-03,RY1,BYD,Seal,Seal,EXD RWD,,RWD,,,,D,SEDAN,UPPER,BEV,MASS,162.0,BYD BYD SEAL EXD RWD
2023-03,RY1,MG,MG VS HEV,MG VS HEV,,,,,,,B,CROSSOVER,VOLUME,HEV,MASS,161.0,MG VS HEV
2025-04,RY1,Aion,Hyptec HT,Hyptec HT,620 PREMIUM,PREMIUM,,620.0,,,D,CROSSOVER,UPPER,BEV,MASS,161.0,AION HYPTEC HT 620 PREMIUM
2025-08,RY1,Geely,Geely EX5,Geely EX5,,,,,,,C,CROSSOVER,VOLUME,BEV,MASS,161.0,GEELY EX5
2025-11,RY1,BYD,Sealion 6 DM-i,Sealion 6 DM-i,PREMIUM,PREMIUM,,,,,C,CROSSOVER,VOLUME,PHEV,MASS,161.0,BYD BYD SEALION 6 DM-i PREMIUM
2022-04,RY1,MG,MG Extender,MG Extender Double Cab,,,,,,,F,PICKUP,VOLUME,ICE,MASS,160.0,MG MG EXTENDER
2022-11,RY1,MG,MG HS,MG HS,PHEV,,,,,PHEV,C,CROSSOVER,MIXED,MIXED,MASS,160.0,MG HS PHEV
2023-01,RY1,MG,MG EP,MG EP,,,,,,,B,WAGON,VOLUME,BEV,MASS,160.0,MG EP
2024-02,RY1,MG,MG ZS,MG ZS,,,,,,,B,CROSSOVER,VOLUME,ICE,MASS,159.0,MG ZS
2024-06,RY1,Tesla,Model 3,Model 3,LONG RANGE,LONG RANGE,,,,,D,SEDAN,MIXED,BEV,PREMIUM_TECH,159.0,TESLA MODEL 3 LONG RANGE
2025-07,RY1,Jaecoo,Jaecoo 6 EV,Jaecoo 6 EV,Long Range 4WD,LONG RANGE,4WD,,,,B,CROSSOVER,VOLUME,BEV,MASS,159.0,JAECOO 6 EV Long Range 4WD
2025-07,RY1,Zeekr,Zeekr 009,Zeekr 009,,,,,,,E,MPV,LUXURY,BEV,PREMIUM_TECH,159.0,ZEEKR ZEEKR 009
2022-04,RY1,GWM,Ora Good Cat,Ora Good Cat,,,,,,,B,HATCHBACK,VOLUME,BEV,MASS,157.0,ORA GOOD CAT
2023-01,RY1,MG,MG VS HEV,MG VS HEV,,,,,,,B,CROSSOVER,VOLUME,HEV,MASS,157.0,MG VS HEV
2024-07,RY1,BYD,Atto 3,Atto 3,410KM-PREMIUM,PREMIUM,,410.0,,,B,CROSSOVER,VOLUME,BEV,MASS,157.0,BYD BYD ATTO3 (410KM-PREMIUM)
2025-11,RY1,BYD,Sealion 7,Sealion 7,AWD,,AWD,,,,D,CROSSOVER,UPPER,BEV,MASS,157.0,BYD BYD SEALION 7 AWD
2025-05,RY1,Neta,Neta V,Neta V,,,,,,,A,CROSSOVER,VOLUME,BEV,BUDGET,156.0,NETA NETA V-II
2025-07,RY1,Denza,Denza D9,Denza D9,FWD,,FWD,,,,E,MPV,LUXURY,MIXED,PREMIUM_LUXURY,156.0,DENZA DENZA D9 FWD
2023-03,RY1,MG,MG ZS EV,MG ZS EV,,,,,,,B,CROSSOVER,VOLUME,BEV,MASS,155.0,MG ZS EV
2023-04,RY1,GWM,Haval H6,Haval H6,HEV ULTRA,ULTRA,,,,HEV,C,CROSSOVER,UPPER,MIXED,MASS,155.0,HAVAL H6 HEV ULTRA
2025-09,RY1,Tesla,Model Y,Model Y,Rear-Wheel Drive,,,,,,D,CROSSOVER,MIXED,BEV,PREMIUM_TECH,155.0,TESLA Model Y Rear-Wheel Drive
2023-06,RY1,MG,MG ES,MG ES,,,,,,,C,CROSSOVER,VOLUME,BEV,MASS,154.0,MG ES
2025-08,RY1,BYD,Atto 3,Atto 3,480KM-EXT,EXT,,480.0,,,B,CROSSOVER,VOLUME,BEV,MASS,154.0,BYD BYD ATTO3 (480KM-EXT)
2025-12,RY1,Changan,Changan Lumin,Changan Lumin,L DC,,,,,,A,HATCHBACK,ENTRY,BEV,MASS,154.0,CHANGAN LUMIN L DC
2022-03,RY3,MG,MG Extender,MG Extender Cab,,,,,,,F,PICKUP,VOLUME,ICE,MASS,153.0,MG MG EXTENDER
2025-03,RY1,MG,MG3,MG3,,,,,,,B,HATCHBACK,VOLUME,HEV,MASS,153.0,MG MG3
2025-07,RY1,MG,MG5,MG5,,,,,,,C,SEDAN,VOLUME,ICE,MASS,153.0,MG MG5
2022-05,RY1,MG,MG HS,MG HS,PHEV,,,,,PHEV,C,CROSSOVER,MIXED,MIXED,MASS,152.0,MG HS PHEV
2023-08,RY1,GWM,Haval H6,Haval H6,HEV ULTRA,ULTRA,,,,HEV,C,CROSSOVER,UPPER,MIXED,MASS,152.0,HAVAL H6 HEV ULTRA
2025-12,RY1,BYD,Sealion 7,Sealion 7,RWD,,RWD,,,,D,CROSSOVER,UPPER,BEV,MASS,152.0,BYD BYD SEALION 7 RWD
2025-12,RY1,Tesla,Model Y,Model Y,LONG RANGE,LONG RANGE,,,,,D,CROSSOVER,MIXED,BEV,PREMIUM_TECH,152.0,TESLA MODEL Y LONG RANGE
2022-08,RY1,MG,MG HS,MG HS,PHEV,,,,,PHEV,C,CROSSOVER,MIXED,MIXED,MASS,150.0,MG HS PHEV
2023-03,RY1,Tesla,Model Y,Model Y,Rear-Wheel Drive,,,,,,D,CROSSOVER,MIXED,BEV,PREMIUM_TECH,150.0,TESLA Model Y Rear-Wheel Drive
2024-01,RY1,MG,MG HS,MG HS,,,,,,,C,CROSSOVER,MIXED,MIXED,MASS,150.0,MG HS
2024-10,RY1,BYD,Atto 3,Atto 3,410KM-DYNAMIC,DYNAMIC,,410.0,,,B,CROSSOVER,VOLUME,BEV,MASS,149.0,BYD BYD ATTO3 (410KM-DYNAMIC)
2025-02,RY1,Aion,Aion Y Plus,Aion Y Plus,,,,,,,B,CROSSOVER,VOLUME,BEV,MASS,149.0,AION AION Y PLUS
2025-12,RY1,Zeekr,Zeekr 009,Zeekr 009,,,,,,,E,MPV,LUXURY,BEV,PREMIUM_TECH,149.0,ZEEKR ZEEKR 009
2025-01,RY1,Chery,Omoda C5,Omoda C5,EV Long Range Ultimate,LONG RANGE,,,,BEV,B,CROSSOVER,VOLUME,BEV,MASS,148.0,OMODA C5 EV Long Range Ultimate
2025-02,RY1,MG,MG3,MG3,,,,,,,B,HATCHBACK,VOLUME,HEV,MASS,148.0,MG MG3
2025-07,RY1,Chery,Omoda C5,Omoda C5,EV Long Range Ultimate,LONG RANGE,,,,BEV,B,CROSSOVER,VOLUME,BEV,MASS,148.0,OMODA C5 EV Long Range Ultimate
2025-11,RY1,MG,MG EP,MG EP,,,,,,,B,WAGON,VOLUME,BEV,MASS,148.0,MG EP
2025-02,RY1,MG,MG5,MG5,,,,,,,C,SEDAN,VOLUME,ICE,MASS,147.0,MG MG5
2025-08,RY1,Aion,Aion Y Plus,Aion Y Plus,,,,,,,B,CROSSOVER,VOLUME,BEV,MASS,147.0,AION AION Y PLUS
2025-09,RY1,Zeekr,Zeekr 009,Zeekr 009,,,,,,,E,MPV,LUXURY,BEV,PREMIUM_TECH,147.0,ZEEKR ZEEKR 009
2022-10,RY1,MG,MG HS,MG HS,PHEV,,,,,PHEV,C,CROSSOVER,MIXED,MIXED,MASS,146.0,MG HS PHEV
2022-11,RY1,MG,MG VS HEV,MG VS HEV,,,,,,,B,CROSSOVER,VOLUME,HEV,MASS,146.0,MG VS HEV
2024-01,RY1,MG,MG VS HEV,MG VS HEV,,,,,,,B,CROSSOVER,VOLUME,HEV,MASS,146.0,MG VS HEV
2025-03,RY1,BYD,BYD M6,BYD M6,EXTENDED,,,,,,C,MPV,VOLUME,BEV,MASS,146.0,BYD BYD M6 EXTENDED
2025-05,RY1,Jaecoo,Jaecoo 6 EV,Jaecoo 6 EV,Long Range 4WD,LONG RANGE,4WD,,,,B,CROSSOVER,VOLUME,BEV,MASS,146.0,JAECOO 6 EV Long Range 4WD
2025-09,RY1,MG,MG IM6,MG IM6,,,,,,,D,CROSSOVER,LUXURY,BEV,MASS,146.0,MG IM6
2022-06,RY1,MG,MG EP,MG EP,,,,,,,B,WAGON,VOLUME,BEV,MASS,145.0,MG EP
2023-02,RY1,GWM,Haval H6,Haval H6,PLUG-IN HYBRID,,,,,PHEV,C,CROSSOVER,UPPER,MIXED,MASS,145.0,HAVAL H6 PLUG-IN HYBRID
2023-05,RY1,MG,MG ZS EV,MG ZS EV,,,,,,,B,CROSSOVER,VOLUME,BEV,MASS,145.0,MG ZS EV
2024-02,RY1,BYD,Dolphin,Dolphin,EXD,,,,,,B,HATCHBACK,VOLUME,BEV,MASS,145.0,BYD BYD DOLPHIN EXD
2024-12,RY1,Jaecoo,Jaecoo 6 EV,Jaecoo 6 EV,Long Range 4WD,LONG RANGE,4WD,,,,B,CROSSOVER,VOLUME,BEV,MASS,145.0,JAECOO 6 EV Long Range 4WD
2025-01,RY1,Deepal,Deepal L07,Deepal L07,,,,,,,D,SEDAN,UPPER,BEV,MASS,145.0,DEEPAL L07
2022-03,RY1,MG,MG3,MG3,NEW,,,,,,B,HATCHBACK,VOLUME,HEV,MASS,144.0,MG NEW MG3
2022-02,RY1,GWM,Ora Good Cat,Ora Good Cat,,,,,,,B,HATCHBACK,VOLUME,BEV,MASS,143.0,ORA GOOD CAT
2025-04,RY1,BYD,BYD M6,BYD M6,EXTENDED,,,,,,C,MPV,VOLUME,BEV,MASS,143.0,BYD BYD M6 EXTENDED
2025-06,RY1,Chery,Omoda C5,Omoda C5,EV Long Range Ultimate,LONG RANGE,,,,BEV,B,CROSSOVER,VOLUME,BEV,MASS,143.0,OMODA C5 EV Long Range Ultimate
2023-05,RY1,Tesla,Model Y,Model Y,Rear-Wheel Drive,,,,,,D,CROSSOVER,MIXED,BEV,PREMIUM_TECH,142.0,TESLA Model Y Rear-Wheel Drive
2024-12,RY1,GWM,Haval Jolion,Haval Jolion,HYBRID,,,,,HEV,B,CROSSOVER,VOLUME,HEV,MASS,142.0,HAVAL JOLION HYBRID
2025-02,RY1,Tesla,Model 3,Model 3,Rear-Wheel Drive,,,,,,D,SEDAN,MIXED,BEV,PREMIUM_TECH,142.0,TESLA Model 3 Rear-Wheel Drive
2025-04,RY1,GWM,Ora Good Cat,Ora Good Cat,07,,,,,,B,HATCHBACK,VOLUME,BEV,MASS,142.0,ORA ORA 07
2025-05,RY1,Chery,Omoda C5,Omoda C5,EV Long Range Ultimate,LONG RANGE,,,,BEV,B,CROSSOVER,VOLUME,BEV,MASS,142.0,OMODA C5 EV Long Range Ultimate
2025-10,RY1,BYD,Sealion 7,Sealion 7,RWD,,RWD,,,,D,CROSSOVER,UPPER,BEV,MASS,142.0,BYD BYD SEALION 7 RWD
2025-12,RY1,BYD,Dolphin,Dolphin,490KM-EXT,EXT,,490.0,,,B,HATCHBACK,VOLUME,BEV,MASS,142.0,BYD BYD DOLPHIN (490KM-EXT)
2025-05,RY1,GWM,Haval Jolion,Haval Jolion,HYBRID,,,,,HEV,B,CROSSOVER,VOLUME,HEV,MASS,141.0,HAVAL JOLION HYBRID
2025-05,RY1,MG,MG3,MG3,,,,,,,B,HATCHBACK,VOLUME,HEV,MASS,141.0,MG MG3
2024-01,RY1,Deepal,Deepal S07,Deepal S07,,,,,,,C,CROSSOVER,UPPER,BEV,MASS,140.0,DEEPAL S07
2024-02,RY1,BYD,Seal,Seal,EXD RWD,,RWD,,,,D,SEDAN,UPPER,BEV,MASS,140.0,BYD BYD SEAL EXD RWD
2024-03,RY1,MG,MG ZS,MG ZS,,,,,,,B,CROSSOVER,VOLUME,ICE,MASS,140.0,MG ZS
2025-01,RY1,BYD,Seal,Seal,EXD AWD,,AWD,,,,D,SEDAN,UPPER,BEV,MASS,140.0,BYD BYD SEAL EXD AWD
2022-06,RY1,MG,MG HS,MG HS,,,,,,,C,CROSSOVER,MIXED,MIXED,MASS,139.0,MG HS
2023-02,RY1,Tesla,Model Y,Model Y,PERFORMANCE,PERFORMANCE,,,,,D,CROSSOVER,MIXED,BEV,PREMIUM_TECH,139.0,TESLA MODEL Y PERFORMANCE
2024-08,RY1,BYD,Atto 3,Atto 3,410KM-PREMIUM,PREMIUM,,410.0,,,B,CROSSOVER,VOLUME,BEV,MASS,139.0,BYD BYD ATTO3 (410KM-PREMIUM)
2024-08,RY1,GWM,Ora Good Cat,Ora Good Cat,,,,,,,B,HATCHBACK,VOLUME,BEV,MASS,139.0,ORA GOOD CAT
2025-04,RY1,MG,MG5,MG5,,,,,,,C,SEDAN,VOLUME,ICE,MASS,139.0,MG MG5
2025-10,RY1,MG,MG3,MG3,,,,,,,B,HATCHBACK,VOLUME,HEV,MASS,139.0,MG MG3
2024-01,RY1,GWM,Haval H6,Haval H6,HEV ULTRA,ULTRA,,,,HEV,C,CROSSOVER,UPPER,MIXED,MASS,138.0,HAVAL H6 HEV ULTRA
2024-08,RY1,Deepal,Deepal L07,Deepal L07,,,,,,,D,SEDAN,UPPER,BEV,MASS,138.0,DEEPAL L07
2024-12,RY1,MG,MG5,MG5,,,,,,,C,SEDAN,VOLUME,ICE,MASS,138.0,MG MG5
2025-08,RY1,Denza,Denza D9,Denza D9,FWD,,FWD,,,,E,MPV,LUXURY,MIXED,PREMIUM_LUXURY,138.0,DENZA DENZA D9 FWD
2024-01,RY1,BYD,Seal,Seal,STD RWD,STD,RWD,,,,D,SEDAN,UPPER,BEV,MASS,137.0,BYD BYD SEAL STD RWD
2024-02,RY1,MG,MG HS,MG HS,,,,,,,C,CROSSOVER,MIXED,MIXED,MASS,137.0,MG HS
2024-12,RY1,BYD,Atto 3,Atto 3,480KM-EXT,EXT,,480.0,,,B,CROSSOVER,VOLUME,BEV,MASS,137.0,BYD BYD ATTO3 (480KM-EXT)
2025-05,RY1,XPeng,XPeng X9,XPeng X9,LONG RANGE,LONG RANGE,,,,,E,MPV,LUXURY,BEV,PREMIUM_TECH,137.0,XPENG X9 LONG RANGE
2023-09,RY1,MG,MG Maxus 9,MG Maxus 9,,,,,,,E,MPV,LUXURY,BEV,MASS,136.0,MG MAXUS 9
2024-12,RY1,BYD,Seal,Seal,EXD RWD,,RWD,,,,D,SEDAN,UPPER,BEV,MASS,136.0,BYD BYD SEAL EXD RWD
2025-01,RY1,Denza,Denza D9,Denza D9,AWD,,AWD,,,,E,MPV,LUXURY,MIXED,PREMIUM_LUXURY,136.0,DENZA DENZA D9 AWD
2025-04,RY1,Zeekr,Zeekr 009,Zeekr 009,,,,,,,E,MPV,LUXURY,BEV,PREMIUM_TECH,136.0,ZEEKR ZEEKR 009
2025-12,RY1,Chery,Chery V23,Chery V23,2WD PLAY,PLAY,2WD,,,,B,SUV,VOLUME,BEV,MASS,136.0,CHERY V23 2WD PLAY
2026-01,RY1,MG,MG EP,MG EP,,,,,,,B,WAGON,VOLUME,BEV,MASS,135.0,MG EP
2026-01,RY1,MG,MG3,MG3,,,,,,,B,HATCHBACK,VOLUME,HEV,MASS,135.0,MG MG3
2025-06,RY1,Aion,Hyptec HT,Hyptec HT,620 PREMIUM,PREMIUM,,620.0,,,D,CROSSOVER,UPPER,BEV,MASS,135.0,AION HYPTEC HT 620 PREMIUM
2025-07,RY1,XPeng,XPeng X9,XPeng X9,LONG RANGE,LONG RANGE,,,,,E,MPV,LUXURY,BEV,PREMIUM_TECH,135.0,XPENG X9 LONG RANGE
2025-10,RY1,Aion,Hyptec HT,Hyptec HT,620 PREMIUM,PREMIUM,,620.0,,,D,CROSSOVER,UPPER,BEV,MASS,135.0,AION HYPTEC HT 620 PREMIUM
2025-10,RY1,MG,MG EP,MG EP,,,,,,,B,WAGON,VOLUME,BEV,MASS,135.0,MG EP
2024-06,RY1,Tesla,Model 3,Model 3,Rear-Wheel Drive,,,,,,D,SEDAN,MIXED,BEV,PREMIUM_TECH,134.0,TESLA Model 3 Rear-Wheel Drive
2022-06,RY1,MG,MG HS,MG HS,PHEV,,,,,PHEV,C,CROSSOVER,MIXED,MIXED,MASS,133.0,MG HS PHEV
2023-02,RY1,MG,MG HS,MG HS,,,,,,,C,CROSSOVER,MIXED,MIXED,MASS,133.0,MG HS
2023-11,RY1,MG,MG ZS EV,MG ZS EV,,,,,,,B,CROSSOVER,VOLUME,BEV,MASS,133.0,MG ZS EV
2024-08,RY1,Tesla,Model 3,Model 3,Rear-Wheel Drive,,,,,,D,SEDAN,MIXED,BEV,PREMIUM_TECH,133.0,TESLA Model 3 Rear-Wheel Drive
2022-03,RY1,GWM,Haval H6,Haval H6,HEV PRO,PRO,,,,HEV,C,CROSSOVER,UPPER,MIXED,MASS,132.0,HAVAL H6 HEV PRO
2023-04,RY1,MG,MG VS HEV,MG VS HEV,,,,,,,B,CROSSOVER,VOLUME,HEV,MASS,132.0,MG VS HEV
2024-04,RY1,BYD,Dolphin,Dolphin,EXD,,,,,,B,HATCHBACK,VOLUME,BEV,MASS,132.0,BYD BYD DOLPHIN EXD
2025-04,RY1,Denza,Denza D9,Denza D9,FWD,,FWD,,,,E,MPV,LUXURY,MIXED,PREMIUM_LUXURY,132.0,DENZA DENZA D9 FWD
2023-08,RY1,Tesla,Model Y,Model Y,Rear-Wheel Drive,,,,,,D,CROSSOVER,MIXED,BEV,PREMIUM_TECH,131.0,TESLA Model Y Rear-Wheel Drive
2024-09,RY1,GWM,Haval Jolion,Haval Jolion,HYBRID,,,,,HEV,B,CROSSOVER,VOLUME,HEV,MASS,131.0,HAVAL JOLION HYBRID
2025-08,RY1,BYD,BYD M6,BYD M6,EXTENDED,,,,,,C,MPV,VOLUME,BEV,MASS,131.0,BYD BYD M6 EXTENDED
2025-11,RY1,Zeekr,Zeekr 009,Zeekr 009,,,,,,,E,MPV,LUXURY,BEV,PREMIUM_TECH,131.0,ZEEKR ZEEKR 009
2024-10,RY1,GWM,Haval Jolion,Haval Jolion,HYBRID,,,,,HEV,B,CROSSOVER,VOLUME,HEV,MASS,130.0,HAVAL JOLION HYBRID
2024-12,RY1,MG,MG3,MG3,,,,,,,B,HATCHBACK,VOLUME,HEV,MASS,130.0,MG MG3
2022-02,RY1,MG,MG3,MG3,NEW,,,,,,B,HATCHBACK,VOLUME,HEV,MASS,129.0,MG NEW MG3
2023-01,RY1,BYD,Atto 3,Atto 3,410KM,,,410.0,,,B,CROSSOVER,VOLUME,BEV,MASS,129.0,BYD BYD ATTO 3 (410KM)
2024-04,RY1,GWM,Ora Good Cat,Ora Good Cat,07,,,,,,B,HATCHBACK,VOLUME,BEV,MASS,129.0,ORA ORA 07
2025-07,RY1,BYD,BYD M6,BYD M6,EXTENDED,,,,,,C,MPV,VOLUME,BEV,MASS,129.0,BYD BYD M6 EXTENDED
2025-07,RY1,MG,MG3,MG3,,,,,,,B,HATCHBACK,VOLUME,HEV,MASS,129.0,MG MG3
2025-08,RY1,MG,MG5,MG5,,,,,,,C,SEDAN,VOLUME,ICE,MASS,129.0,MG MG5
2025-09,RY1,BYD,Sealion 7,Sealion 7,RWD,,RWD,,,,D,CROSSOVER,UPPER,BEV,MASS,129.0,BYD BYD SEALION 7 RWD
2025-11,RY1,Aion,Aion UT,Aion UT,500 PREMIUM,PREMIUM,,500.0,,,B,HATCHBACK,MIXED,BEV,MASS,129.0,AION AION UT 500 PREMIUM
2023-11,RY1,Tesla,Model Y,Model Y,Rear-Wheel Drive,,,,,,D,CROSSOVER,MIXED,BEV,PREMIUM_TECH,128.0,TESLA Model Y Rear-Wheel Drive
2025-03,RY1,Tesla,Model 3,Model 3,Rear-Wheel Drive,,,,,,D,SEDAN,MIXED,BEV,PREMIUM_TECH,128.0,TESLA Model 3 Rear-Wheel Drive
2025-09,RY1,BYD,Atto 3,Atto 3,480KM-EXT,EXT,,480.0,,,B,CROSSOVER,VOLUME,BEV,MASS,128.0,BYD BYD ATTO3 (480KM-EXT)
2026-01,RY1,Jaecoo,Jaecoo 6 EV,Jaecoo 6 EV,Long Range 2WD,LONG RANGE,2WD,,,,B,CROSSOVER,VOLUME,BEV,MASS,127.0,JAECOO 6 EV Long Range 2WD
2026-01,RY1,MG,MG5,MG5,,,,,,,C,SEDAN,VOLUME,ICE,MASS,127.0,MG MG5
2022-08,RY1,MG,MG HS,MG HS,,,,,,,C,CROSSOVER,MIXED,MIXED,MASS,127.0,MG HS
2023-03,RY1,BYD,Atto 3,Atto 3,410KM,,,410.0,,,B,CROSSOVER,VOLUME,BEV,MASS,127.0,BYD BYD ATTO 3 (410KM)
2024-06,RY1,BYD,Seal,Seal,EXD RWD,,RWD,,,,D,SEDAN,UPPER,BEV,MASS,127.0,BYD BYD SEAL EXD RWD
2026-01,RY1,Chery,Omoda C5,Omoda C5,EV Long Range Max,LONG RANGE MAX,,,,BEV,B,CROSSOVER,VOLUME,BEV,MASS,126.0,OMODA C5 EV Long Range Max
2023-02,RY1,MG,MG HS,MG HS,PHEV,,,,,PHEV,C,CROSSOVER,MIXED,MIXED,MASS,126.0,MG HS PHEV
2023-05,RY1,Tesla,Model 3,Model 3,LONG RANGE,LONG RANGE,,,,,D,SEDAN,MIXED,BEV,PREMIUM_TECH,126.0,TESLA MODEL 3 LONG RANGE
2024-10,RY1,MG,MG ZS EV,MG ZS EV,,,,,,,B,CROSSOVER,VOLUME,BEV,MASS,126.0,MG ZS EV
2025-09,RY1,Aion,Aion V,Aion V,602 LUXURY,LUXURY,,602.0,,,C,CROSSOVER,UPPER,BEV,MASS,126.0,AION AION V 602 LUXURY
2026-01,RY1,BYD,Sealion 6 DM-i,Sealion 6 DM-i,DYNAMIC,DYNAMIC,,,,,C,CROSSOVER,VOLUME,PHEV,MASS,125.0,BYD BYD SEALION 6 DM-i DYNAMIC
2022-02,RY1,MG,MG HS,MG HS,PHEV,,,,,PHEV,C,CROSSOVER,MIXED,MIXED,MASS,125.0,MG HS PHEV
2023-03,RY1,Tesla,Model 3,Model 3,PERFORMANCE,PERFORMANCE,,,,,D,SEDAN,MIXED,BEV,PREMIUM_TECH,125.0,TESLA Model 3 Performance
2023-09,RY1,Tesla,Model Y,Model Y,LONG RANGE,LONG RANGE,,,,,D,CROSSOVER,MIXED,BEV,PREMIUM_TECH,125.0,TESLA MODEL Y LONG RANGE
2023-11,RY1,GWM,Haval H6,Haval H6,HEV ULTRA,ULTRA,,,,HEV,C,CROSSOVER,UPPER,MIXED,MASS,125.0,HAVAL H6 HEV ULTRA
2024-09,RY1,GWM,Ora Good Cat,Ora Good Cat,,,,,,,B,HATCHBACK,VOLUME,BEV,MASS,125.0,ORA GOOD CAT
2025-02,RY1,BYD,BYD M6,BYD M6,EXTENDED,,,,,,C,MPV,VOLUME,BEV,MASS,125.0,BYD BYD M6 EXTENDED
2025-08,RY1,Aion,Aion V,Aion V,602 LUXURY,LUXURY,,602.0,,,C,CROSSOVER,UPPER,BEV,MASS,125.0,AION AION V 602 LUXURY
2025-09,RY1,Neta,Neta V,Neta V,,,,,,,A,CROSSOVER,VOLUME,BEV,BUDGET,125.0,NETA NETA V-II
2026-01,RY1,GWM,Tank 500,Tank 500,,,,,,,E,PPV,LUXURY,HEV,MASS,124.0,GWM GWM TANK 500
2022-09,RY1,MG,MG HS,MG HS,,,,,,,C,CROSSOVER,MIXED,MIXED,MASS,124.0,MG HS
2025-01,RY1,Zeekr,Zeekr 009,Zeekr 009,,,,,,,E,MPV,LUXURY,BEV,PREMIUM_TECH,124.0,ZEEKR ZEEKR 009
2025-06,RY1,Neta,Neta X,Neta X,,,,,,,B,CROSSOVER,VOLUME,BEV,BUDGET,124.0,NETA NETA X
2025-09,RY1,Jaecoo,Jaecoo 7,Jaecoo 7,Max,MAX,,,,,C,CROSSOVER,UPPER,PHEV,MASS,124.0,JAECOO 7 SHS Max
2023-08,RY1,GWM,Haval H6,Haval H6,PLUG-IN HYBRID,,,,,PHEV,C,CROSSOVER,UPPER,MIXED,MASS,123.0,HAVAL H6 PLUG-IN HYBRID
2023-11,RY1,MG,MG Maxus 9,MG Maxus 9,,,,,,,E,MPV,LUXURY,BEV,MASS,123.0,MG MAXUS 9
2025-06,RY1,GWM,Haval Jolion,Haval Jolion,HYBRID,,,,,HEV,B,CROSSOVER,VOLUME,HEV,MASS,123.0,HAVAL JOLION HYBRID
2025-08,RY1,Tesla,Model Y,Model Y,LONG RANGE,LONG RANGE,,,,,D,CROSSOVER,MIXED,BEV,PREMIUM_TECH,123.0,TESLA MODEL Y LONG RANGE
2025-11,RY1,Neta,Neta V,Neta V,,,,,,,A,CROSSOVER,VOLUME,BEV,BUDGET,123.0,NETA NETA V-II
2023-08,RY1,MG,MG ES,MG ES,,,,,,,C,CROSSOVER,VOLUME,BEV,MASS,122.0,MG ES
2024-12,RY1,BYD,BYD M6,BYD M6,EXTENDED,,,,,,C,MPV,VOLUME,BEV,MASS,122.0,BYD BYD M6 EXTENDED
2022-01,RY3,MG,MG Extender,MG Extender Cab,,,,,,,F,PICKUP,VOLUME,ICE,MASS,121.0,MG MG EXTENDER
2023-09,RY1,GWM,Haval H6,Haval H6,HEV ULTRA,ULTRA,,,,HEV,C,CROSSOVER,UPPER,MIXED,MASS,121.0,HAVAL H6 HEV ULTRA
2024-06,RY1,MG,MG ZS,MG ZS,,,,,,,B,CROSSOVER,VOLUME,ICE,MASS,121.0,MG ZS
2024-11,RY1,BYD,Seal,Seal,EXD RWD,,RWD,,,,D,SEDAN,UPPER,BEV,MASS,121.0,BYD BYD SEAL EXD RWD
